"number_past_order","time_web","voucher","past_spend","ad_channel","revenue","ad_channel_label","voucher_label"
0,115,"0",0,"1",78,"No Advertisement","No Voucher"
1,71,"0",33,"1",64,"No Advertisement","No Voucher"
0,113,"0",0,"1",65,"No Advertisement","No Voucher"
1,128,"0",3,"4",53,"Online Display Ads","No Voucher"
0,127,"0",0,"4",55,"Online Display Ads","No Voucher"
1,130,"0",8,"1",58,"No Advertisement","No Voucher"
0,101,"0",0,"1",57,"No Advertisement","No Voucher"
1,143,"0",25,"1",51,"No Advertisement","No Voucher"
0,143,"0",0,"1",56,"No Advertisement","No Voucher"
0,93,"0",0,"3",43,"SEO (Organic)","No Voucher"
1,75,"1",14,"1",38,"No Advertisement","Voucher Applied"
0,151,"0",0,"4",53,"Online Display Ads","No Voucher"
0,135,"0",0,"1",52,"No Advertisement","No Voucher"
1,144,"0",8,"1",67,"No Advertisement","No Voucher"
0,128,"0",0,"3",57,"SEO (Organic)","No Voucher"
1,115,"0",10,"2",47,"Paid Search","No Voucher"
2,135,"0",4,"1",60,"No Advertisement","No Voucher"
2,95,"0",10,"2",46,"Paid Search","No Voucher"
1,123,"0",9,"4",56,"Online Display Ads","No Voucher"
1,152,"0",6,"1",55,"No Advertisement","No Voucher"
0,150,"0",0,"1",60,"No Advertisement","No Voucher"
0,111,"0",0,"2",50,"Paid Search","No Voucher"
0,149,"0",0,"2",64,"Paid Search","No Voucher"
2,144,"0",18,"1",72,"No Advertisement","No Voucher"
2,100,"0",22,"1",53,"No Advertisement","No Voucher"
0,144,"1",0,"4",53,"Online Display Ads","Voucher Applied"
0,128,"0",0,"1",72,"No Advertisement","No Voucher"
1,120,"0",16,"3",41,"SEO (Organic)","No Voucher"
3,114,"0",6,"1",50,"No Advertisement","No Voucher"
1,119,"1",22,"4",66,"Online Display Ads","Voucher Applied"
1,164,"0",15,"1",89,"No Advertisement","No Voucher"
0,57,"0",0,"4",38,"Online Display Ads","No Voucher"
1,89,"0",11,"4",39,"Online Display Ads","No Voucher"
1,132,"0",18,"1",51,"No Advertisement","No Voucher"
0,123,"0",0,"1",40,"No Advertisement","No Voucher"
1,139,"0",14,"1",51,"No Advertisement","No Voucher"
0,103,"0",0,"1",39,"No Advertisement","No Voucher"
1,151,"0",25,"3",83,"SEO (Organic)","No Voucher"
1,113,"1",15,"1",37,"No Advertisement","Voucher Applied"
0,131,"0",0,"1",58,"No Advertisement","No Voucher"
2,116,"0",12,"1",57,"No Advertisement","No Voucher"
0,106,"0",0,"1",52,"No Advertisement","No Voucher"
0,120,"0",0,"1",57,"No Advertisement","No Voucher"
0,79,"0",0,"4",43,"Online Display Ads","No Voucher"
1,144,"0",22,"4",59,"Online Display Ads","No Voucher"
1,101,"1",10,"4",48,"Online Display Ads","Voucher Applied"
2,136,"0",24,"1",52,"No Advertisement","No Voucher"
1,139,"1",20,"1",70,"No Advertisement","Voucher Applied"
0,111,"0",0,"2",60,"Paid Search","No Voucher"
1,116,"0",33,"1",34,"No Advertisement","No Voucher"
1,138,"0",7,"1",70,"No Advertisement","No Voucher"
0,126,"0",0,"1",65,"No Advertisement","No Voucher"
2,137,"0",24,"4",51,"Online Display Ads","No Voucher"
1,134,"0",8,"2",59,"Paid Search","No Voucher"
1,111,"0",29,"3",34,"SEO (Organic)","No Voucher"
1,141,"0",6,"1",65,"No Advertisement","No Voucher"
1,97,"1",2,"1",41,"No Advertisement","Voucher Applied"
2,60,"0",4,"4",42,"Online Display Ads","No Voucher"
1,141,"1",41,"1",85,"No Advertisement","Voucher Applied"
1,146,"0",3,"1",65,"No Advertisement","No Voucher"
0,107,"0",0,"4",56,"Online Display Ads","No Voucher"
3,126,"0",21,"4",52,"Online Display Ads","No Voucher"
1,139,"0",3,"1",57,"No Advertisement","No Voucher"
0,160,"0",0,"4",80,"Online Display Ads","No Voucher"
1,155,"0",8,"1",62,"No Advertisement","No Voucher"
1,112,"0",19,"4",66,"Online Display Ads","No Voucher"
0,110,"0",0,"1",37,"No Advertisement","No Voucher"
0,133,"1",0,"2",54,"Paid Search","Voucher Applied"
2,147,"0",30,"3",57,"SEO (Organic)","No Voucher"
1,159,"0",29,"1",80,"No Advertisement","No Voucher"
1,110,"0",12,"3",51,"SEO (Organic)","No Voucher"
1,136,"0",19,"2",46,"Paid Search","No Voucher"
1,158,"0",8,"1",64,"No Advertisement","No Voucher"
1,146,"0",8,"2",66,"Paid Search","No Voucher"
1,49,"1",4,"4",29,"Online Display Ads","Voucher Applied"
1,141,"1",7,"3",59,"SEO (Organic)","Voucher Applied"
3,147,"0",51,"2",57,"Paid Search","No Voucher"
1,67,"1",3,"3",36,"SEO (Organic)","Voucher Applied"
0,159,"0",0,"3",80,"SEO (Organic)","No Voucher"
0,137,"0",0,"4",67,"Online Display Ads","No Voucher"
1,86,"0",4,"2",43,"Paid Search","No Voucher"
1,123,"1",1,"4",63,"Online Display Ads","Voucher Applied"
1,105,"0",12,"3",47,"SEO (Organic)","No Voucher"
0,154,"0",0,"1",72,"No Advertisement","No Voucher"
1,123,"0",12,"4",44,"Online Display Ads","No Voucher"
1,151,"0",6,"1",80,"No Advertisement","No Voucher"
2,102,"0",16,"2",43,"Paid Search","No Voucher"
2,105,"0",20,"2",51,"Paid Search","No Voucher"
0,130,"0",0,"4",56,"Online Display Ads","No Voucher"
1,143,"0",4,"1",65,"No Advertisement","No Voucher"
0,126,"1",0,"3",66,"SEO (Organic)","Voucher Applied"
0,113,"0",0,"1",37,"No Advertisement","No Voucher"
1,146,"0",4,"1",55,"No Advertisement","No Voucher"
0,107,"1",0,"2",47,"Paid Search","Voucher Applied"
1,126,"0",13,"3",64,"SEO (Organic)","No Voucher"
2,126,"0",28,"1",72,"No Advertisement","No Voucher"
1,114,"0",2,"4",43,"Online Display Ads","No Voucher"
1,109,"0",2,"4",41,"Online Display Ads","No Voucher"
1,98,"1",2,"3",53,"SEO (Organic)","Voucher Applied"
1,135,"0",10,"3",60,"SEO (Organic)","No Voucher"
1,155,"0",27,"3",44,"SEO (Organic)","No Voucher"
1,134,"0",12,"4",70,"Online Display Ads","No Voucher"
0,107,"0",0,"1",64,"No Advertisement","No Voucher"
0,162,"0",0,"2",83,"Paid Search","No Voucher"
0,67,"0",0,"1",30,"No Advertisement","No Voucher"
0,117,"0",0,"1",77,"No Advertisement","No Voucher"
0,139,"0",0,"1",58,"No Advertisement","No Voucher"
1,141,"0",1,"4",65,"Online Display Ads","No Voucher"
1,142,"0",5,"3",70,"SEO (Organic)","No Voucher"
1,125,"0",20,"3",50,"SEO (Organic)","No Voucher"
1,128,"0",13,"1",47,"No Advertisement","No Voucher"
0,113,"0",0,"1",62,"No Advertisement","No Voucher"
0,106,"0",0,"3",37,"SEO (Organic)","No Voucher"
0,94,"1",0,"1",56,"No Advertisement","Voucher Applied"
1,148,"1",27,"1",46,"No Advertisement","Voucher Applied"
2,130,"0",16,"4",58,"Online Display Ads","No Voucher"
0,157,"0",0,"2",74,"Paid Search","No Voucher"
2,70,"0",42,"4",27,"Online Display Ads","No Voucher"
0,133,"0",0,"1",56,"No Advertisement","No Voucher"
0,74,"0",0,"1",39,"No Advertisement","No Voucher"
1,132,"0",8,"2",53,"Paid Search","No Voucher"
0,123,"0",0,"4",52,"Online Display Ads","No Voucher"
1,105,"0",25,"2",26,"Paid Search","No Voucher"
2,105,"0",16,"2",39,"Paid Search","No Voucher"
1,127,"0",30,"3",39,"SEO (Organic)","No Voucher"
0,157,"1",0,"1",68,"No Advertisement","Voucher Applied"
0,139,"0",0,"1",53,"No Advertisement","No Voucher"
0,117,"0",0,"1",43,"No Advertisement","No Voucher"
0,144,"0",0,"1",60,"No Advertisement","No Voucher"
0,153,"0",0,"1",81,"No Advertisement","No Voucher"
1,129,"0",16,"1",45,"No Advertisement","No Voucher"
0,91,"0",0,"4",48,"Online Display Ads","No Voucher"
1,124,"1",15,"3",40,"SEO (Organic)","Voucher Applied"
0,111,"0",0,"2",45,"Paid Search","No Voucher"
2,90,"0",26,"4",49,"Online Display Ads","No Voucher"
0,112,"0",0,"4",46,"Online Display Ads","No Voucher"
0,133,"1",0,"1",53,"No Advertisement","Voucher Applied"
0,65,"0",0,"1",46,"No Advertisement","No Voucher"
2,117,"0",40,"1",53,"No Advertisement","No Voucher"
1,138,"1",23,"1",73,"No Advertisement","Voucher Applied"
0,134,"0",0,"1",57,"No Advertisement","No Voucher"
1,131,"0",31,"3",81,"SEO (Organic)","No Voucher"
1,105,"0",3,"2",55,"Paid Search","No Voucher"
1,110,"0",14,"1",57,"No Advertisement","No Voucher"
0,123,"0",0,"1",63,"No Advertisement","No Voucher"
0,135,"0",0,"2",63,"Paid Search","No Voucher"
1,162,"1",3,"4",73,"Online Display Ads","Voucher Applied"
0,143,"0",0,"4",81,"Online Display Ads","No Voucher"
1,86,"0",12,"1",39,"No Advertisement","No Voucher"
0,141,"0",0,"2",59,"Paid Search","No Voucher"
1,135,"0",18,"4",67,"Online Display Ads","No Voucher"
1,128,"0",3,"1",63,"No Advertisement","No Voucher"
0,91,"0",0,"2",17,"Paid Search","No Voucher"
0,137,"1",0,"1",63,"No Advertisement","Voucher Applied"
1,105,"0",5,"3",44,"SEO (Organic)","No Voucher"
0,149,"0",0,"2",52,"Paid Search","No Voucher"
1,141,"1",7,"3",54,"SEO (Organic)","Voucher Applied"
0,130,"0",0,"1",58,"No Advertisement","No Voucher"
2,118,"0",42,"3",39,"SEO (Organic)","No Voucher"
2,124,"0",14,"2",42,"Paid Search","No Voucher"
1,120,"0",24,"1",66,"No Advertisement","No Voucher"
1,124,"0",8,"1",46,"No Advertisement","No Voucher"
0,133,"0",0,"3",52,"SEO (Organic)","No Voucher"
1,150,"0",12,"4",80,"Online Display Ads","No Voucher"
1,12,"0",38,"4",44,"Online Display Ads","No Voucher"
1,87,"0",4,"1",41,"No Advertisement","No Voucher"
1,139,"0",1,"4",64,"Online Display Ads","No Voucher"
1,164,"0",15,"2",76,"Paid Search","No Voucher"
2,141,"0",2,"4",42,"Online Display Ads","No Voucher"
2,159,"0",22,"3",69,"SEO (Organic)","No Voucher"
1,45,"0",15,"1",31,"No Advertisement","No Voucher"
1,130,"0",19,"1",46,"No Advertisement","No Voucher"
1,101,"0",3,"3",41,"SEO (Organic)","No Voucher"
0,154,"1",0,"2",84,"Paid Search","Voucher Applied"
2,158,"0",16,"1",79,"No Advertisement","No Voucher"
1,57,"0",9,"1",27,"No Advertisement","No Voucher"
1,62,"0",7,"3",36,"SEO (Organic)","No Voucher"
0,134,"0",0,"1",60,"No Advertisement","No Voucher"
0,105,"0",0,"1",33,"No Advertisement","No Voucher"
1,143,"0",9,"2",61,"Paid Search","No Voucher"
0,93,"0",0,"1",52,"No Advertisement","No Voucher"
0,138,"1",0,"3",70,"SEO (Organic)","Voucher Applied"
0,122,"0",0,"1",62,"No Advertisement","No Voucher"
1,141,"0",15,"3",65,"SEO (Organic)","No Voucher"
0,35,"0",0,"4",29,"Online Display Ads","No Voucher"
0,145,"0",0,"4",53,"Online Display Ads","No Voucher"
1,127,"0",19,"3",38,"SEO (Organic)","No Voucher"
1,108,"0",10,"3",60,"SEO (Organic)","No Voucher"
0,83,"1",0,"2",35,"Paid Search","Voucher Applied"
2,132,"0",32,"1",50,"No Advertisement","No Voucher"
1,70,"0",8,"2",32,"Paid Search","No Voucher"
0,137,"0",0,"1",37,"No Advertisement","No Voucher"
1,138,"0",4,"1",58,"No Advertisement","No Voucher"
0,134,"0",0,"3",44,"SEO (Organic)","No Voucher"
1,119,"0",9,"4",48,"Online Display Ads","No Voucher"
0,166,"0",0,"3",72,"SEO (Organic)","No Voucher"
0,118,"1",0,"1",64,"No Advertisement","Voucher Applied"
0,152,"0",0,"3",66,"SEO (Organic)","No Voucher"
2,83,"0",2,"4",49,"Online Display Ads","No Voucher"
2,85,"0",22,"1",41,"No Advertisement","No Voucher"
0,144,"0",0,"4",56,"Online Display Ads","No Voucher"
1,134,"1",14,"1",56,"No Advertisement","Voucher Applied"
0,139,"0",0,"2",67,"Paid Search","No Voucher"
2,113,"0",24,"3",48,"SEO (Organic)","No Voucher"
1,121,"1",1,"4",50,"Online Display Ads","Voucher Applied"
0,94,"0",0,"2",36,"Paid Search","No Voucher"
1,138,"1",12,"2",53,"Paid Search","Voucher Applied"
1,128,"0",12,"3",52,"SEO (Organic)","No Voucher"
0,108,"0",0,"4",47,"Online Display Ads","No Voucher"
1,141,"0",20,"1",55,"No Advertisement","No Voucher"
1,75,"1",24,"2",46,"Paid Search","Voucher Applied"
0,124,"0",0,"2",52,"Paid Search","No Voucher"
1,123,"0",14,"2",46,"Paid Search","No Voucher"
0,90,"0",0,"3",45,"SEO (Organic)","No Voucher"
1,152,"0",6,"2",75,"Paid Search","No Voucher"
0,134,"0",0,"1",57,"No Advertisement","No Voucher"
3,124,"0",33,"4",51,"Online Display Ads","No Voucher"
1,94,"0",29,"2",63,"Paid Search","No Voucher"
1,106,"0",5,"4",49,"Online Display Ads","No Voucher"
0,154,"0",0,"4",65,"Online Display Ads","No Voucher"
0,93,"0",0,"2",36,"Paid Search","No Voucher"
1,124,"0",3,"2",57,"Paid Search","No Voucher"
0,138,"0",0,"2",63,"Paid Search","No Voucher"
1,147,"0",5,"2",60,"Paid Search","No Voucher"
1,136,"0",4,"1",58,"No Advertisement","No Voucher"
2,148,"0",38,"1",79,"No Advertisement","No Voucher"
1,103,"0",2,"2",44,"Paid Search","No Voucher"
0,140,"0",0,"1",62,"No Advertisement","No Voucher"
3,160,"0",21,"1",59,"No Advertisement","No Voucher"
0,118,"0",0,"2",46,"Paid Search","No Voucher"
0,134,"0",0,"2",57,"Paid Search","No Voucher"
1,125,"0",18,"3",41,"SEO (Organic)","No Voucher"
0,143,"1",0,"1",71,"No Advertisement","Voucher Applied"
0,121,"0",0,"3",68,"SEO (Organic)","No Voucher"
0,129,"0",0,"1",63,"No Advertisement","No Voucher"
1,102,"0",16,"3",43,"SEO (Organic)","No Voucher"
1,161,"0",2,"4",74,"Online Display Ads","No Voucher"
1,125,"1",17,"2",61,"Paid Search","Voucher Applied"
1,125,"0",4,"1",63,"No Advertisement","No Voucher"
1,160,"0",29,"4",57,"Online Display Ads","No Voucher"
0,83,"0",0,"4",55,"Online Display Ads","No Voucher"
0,115,"1",0,"1",59,"No Advertisement","Voucher Applied"
1,102,"0",2,"1",48,"No Advertisement","No Voucher"
1,144,"1",32,"3",51,"SEO (Organic)","Voucher Applied"
0,135,"0",0,"4",47,"Online Display Ads","No Voucher"
2,96,"0",12,"3",41,"SEO (Organic)","No Voucher"
0,138,"1",0,"1",62,"No Advertisement","Voucher Applied"
1,148,"0",13,"1",70,"No Advertisement","No Voucher"
1,119,"1",12,"1",49,"No Advertisement","Voucher Applied"
1,163,"0",5,"4",74,"Online Display Ads","No Voucher"
2,116,"0",4,"2",49,"Paid Search","No Voucher"
1,147,"1",15,"4",75,"Online Display Ads","Voucher Applied"
0,142,"0",0,"1",70,"No Advertisement","No Voucher"
0,93,"1",0,"4",49,"Online Display Ads","Voucher Applied"
1,123,"0",12,"1",66,"No Advertisement","No Voucher"
1,132,"0",23,"4",45,"Online Display Ads","No Voucher"
0,111,"1",0,"1",67,"No Advertisement","Voucher Applied"
1,154,"0",7,"2",66,"Paid Search","No Voucher"
0,96,"0",0,"1",37,"No Advertisement","No Voucher"
2,133,"1",20,"3",63,"SEO (Organic)","Voucher Applied"
1,107,"0",11,"1",44,"No Advertisement","No Voucher"
1,80,"0",16,"1",34,"No Advertisement","No Voucher"
1,136,"0",14,"3",55,"SEO (Organic)","No Voucher"
0,109,"0",0,"3",57,"SEO (Organic)","No Voucher"
1,159,"0",15,"4",75,"Online Display Ads","No Voucher"
0,137,"0",0,"2",56,"Paid Search","No Voucher"
1,165,"0",13,"1",78,"No Advertisement","No Voucher"
1,166,"0",2,"1",80,"No Advertisement","No Voucher"
1,114,"0",24,"4",46,"Online Display Ads","No Voucher"
1,125,"0",10,"3",64,"SEO (Organic)","No Voucher"
1,149,"0",3,"2",66,"Paid Search","No Voucher"
0,131,"0",0,"4",57,"Online Display Ads","No Voucher"
1,143,"0",23,"4",53,"Online Display Ads","No Voucher"
1,125,"0",7,"1",53,"No Advertisement","No Voucher"
2,141,"0",12,"1",58,"No Advertisement","No Voucher"
1,132,"0",6,"4",58,"Online Display Ads","No Voucher"
2,133,"0",12,"1",59,"No Advertisement","No Voucher"
3,133,"0",18,"2",55,"Paid Search","No Voucher"
0,121,"0",0,"1",50,"No Advertisement","No Voucher"
0,111,"0",0,"2",49,"Paid Search","No Voucher"
0,133,"0",0,"1",62,"No Advertisement","No Voucher"
1,125,"0",16,"2",75,"Paid Search","No Voucher"
0,120,"0",0,"2",49,"Paid Search","No Voucher"
0,121,"0",0,"4",33,"Online Display Ads","No Voucher"
1,109,"0",16,"2",44,"Paid Search","No Voucher"
1,121,"0",12,"1",61,"No Advertisement","No Voucher"
2,116,"0",14,"1",52,"No Advertisement","No Voucher"
0,105,"0",0,"3",52,"SEO (Organic)","No Voucher"
0,134,"0",0,"1",57,"No Advertisement","No Voucher"
1,86,"0",4,"2",32,"Paid Search","No Voucher"
0,155,"0",0,"3",60,"SEO (Organic)","No Voucher"
2,147,"0",32,"3",77,"SEO (Organic)","No Voucher"
0,134,"0",0,"4",58,"Online Display Ads","No Voucher"
1,124,"0",15,"1",44,"No Advertisement","No Voucher"
1,128,"0",7,"1",47,"No Advertisement","No Voucher"
1,87,"0",3,"1",44,"No Advertisement","No Voucher"
2,109,"0",28,"3",42,"SEO (Organic)","No Voucher"
1,65,"0",9,"3",35,"SEO (Organic)","No Voucher"
1,117,"0",1,"1",57,"No Advertisement","No Voucher"
2,121,"0",68,"1",35,"No Advertisement","No Voucher"
1,65,"1",5,"3",38,"SEO (Organic)","Voucher Applied"
1,131,"1",17,"3",49,"SEO (Organic)","Voucher Applied"
1,115,"0",8,"2",51,"Paid Search","No Voucher"
1,121,"0",1,"3",51,"SEO (Organic)","No Voucher"
1,122,"0",4,"1",55,"No Advertisement","No Voucher"
1,142,"0",4,"2",60,"Paid Search","No Voucher"
0,143,"0",0,"1",51,"No Advertisement","No Voucher"
0,123,"0",0,"1",65,"No Advertisement","No Voucher"
2,111,"0",102,"1",90,"No Advertisement","No Voucher"
2,137,"0",32,"1",65,"No Advertisement","No Voucher"
0,118,"0",0,"4",34,"Online Display Ads","No Voucher"
0,135,"0",0,"3",55,"SEO (Organic)","No Voucher"
2,160,"1",54,"1",90,"No Advertisement","Voucher Applied"
1,106,"0",24,"2",38,"Paid Search","No Voucher"
1,108,"0",34,"3",32,"SEO (Organic)","No Voucher"
0,138,"1",0,"3",63,"SEO (Organic)","Voucher Applied"
1,138,"0",8,"4",64,"Online Display Ads","No Voucher"
1,145,"0",5,"4",64,"Online Display Ads","No Voucher"
1,131,"0",18,"2",45,"Paid Search","No Voucher"
0,62,"0",0,"1",11,"No Advertisement","No Voucher"
1,127,"1",11,"1",64,"No Advertisement","Voucher Applied"
1,153,"0",10,"3",69,"SEO (Organic)","No Voucher"
1,75,"0",12,"1",40,"No Advertisement","No Voucher"
0,123,"0",0,"4",47,"Online Display Ads","No Voucher"
1,119,"1",6,"1",53,"No Advertisement","Voucher Applied"
0,138,"0",0,"1",77,"No Advertisement","No Voucher"
1,126,"1",21,"1",68,"No Advertisement","Voucher Applied"
1,142,"0",9,"1",72,"No Advertisement","No Voucher"
1,124,"0",8,"1",42,"No Advertisement","No Voucher"
1,140,"1",6,"4",54,"Online Display Ads","Voucher Applied"
2,112,"0",40,"1",66,"No Advertisement","No Voucher"
2,111,"0",10,"3",59,"SEO (Organic)","No Voucher"
0,133,"0",0,"4",79,"Online Display Ads","No Voucher"
0,117,"0",0,"3",30,"SEO (Organic)","No Voucher"
1,93,"0",10,"2",49,"Paid Search","No Voucher"
1,130,"1",19,"1",45,"No Advertisement","Voucher Applied"
1,107,"0",19,"1",55,"No Advertisement","No Voucher"
1,91,"0",5,"4",33,"Online Display Ads","No Voucher"
0,138,"0",0,"2",39,"Paid Search","No Voucher"
1,139,"0",11,"4",50,"Online Display Ads","No Voucher"
0,90,"0",0,"2",46,"Paid Search","No Voucher"
1,90,"0",15,"3",39,"SEO (Organic)","No Voucher"
1,139,"0",6,"1",62,"No Advertisement","No Voucher"
1,106,"0",11,"3",42,"SEO (Organic)","No Voucher"
0,130,"0",0,"2",72,"Paid Search","No Voucher"
0,141,"0",0,"4",61,"Online Display Ads","No Voucher"
1,127,"0",15,"4",49,"Online Display Ads","No Voucher"
0,122,"0",0,"3",62,"SEO (Organic)","No Voucher"
1,121,"0",30,"4",38,"Online Display Ads","No Voucher"
0,133,"0",0,"1",62,"No Advertisement","No Voucher"
0,130,"0",0,"2",57,"Paid Search","No Voucher"
1,109,"0",28,"1",65,"No Advertisement","No Voucher"
0,140,"0",0,"2",46,"Paid Search","No Voucher"
1,124,"0",8,"3",68,"SEO (Organic)","No Voucher"
2,80,"0",6,"1",49,"No Advertisement","No Voucher"
1,105,"0",11,"1",48,"No Advertisement","No Voucher"
0,140,"0",0,"1",60,"No Advertisement","No Voucher"
1,129,"1",5,"1",53,"No Advertisement","Voucher Applied"
0,117,"0",0,"2",50,"Paid Search","No Voucher"
0,141,"0",0,"1",63,"No Advertisement","No Voucher"
1,128,"0",10,"2",51,"Paid Search","No Voucher"
0,117,"0",0,"1",50,"No Advertisement","No Voucher"
2,107,"0",6,"1",45,"No Advertisement","No Voucher"
0,141,"1",0,"3",61,"SEO (Organic)","Voucher Applied"
1,131,"0",10,"1",57,"No Advertisement","No Voucher"
0,150,"1",0,"3",59,"SEO (Organic)","Voucher Applied"
1,131,"0",28,"4",37,"Online Display Ads","No Voucher"
1,138,"0",33,"1",76,"No Advertisement","No Voucher"
2,170,"0",44,"2",73,"Paid Search","No Voucher"
0,142,"0",0,"1",78,"No Advertisement","No Voucher"
0,104,"0",0,"1",62,"No Advertisement","No Voucher"
1,114,"1",14,"1",59,"No Advertisement","Voucher Applied"
0,133,"0",0,"3",57,"SEO (Organic)","No Voucher"
1,100,"0",4,"2",49,"Paid Search","No Voucher"
1,128,"0",16,"2",56,"Paid Search","No Voucher"
1,143,"0",7,"2",68,"Paid Search","No Voucher"
1,120,"0",11,"4",44,"Online Display Ads","No Voucher"
0,144,"0",0,"4",65,"Online Display Ads","No Voucher"
1,95,"0",17,"4",41,"Online Display Ads","No Voucher"
0,128,"1",0,"1",54,"No Advertisement","Voucher Applied"
0,129,"0",0,"4",65,"Online Display Ads","No Voucher"
1,131,"0",9,"1",68,"No Advertisement","No Voucher"
2,129,"0",40,"1",49,"No Advertisement","No Voucher"
2,128,"0",22,"1",55,"No Advertisement","No Voucher"
2,142,"0",28,"1",63,"No Advertisement","No Voucher"
1,96,"0",11,"3",52,"SEO (Organic)","No Voucher"
1,120,"0",12,"3",51,"SEO (Organic)","No Voucher"
0,115,"1",0,"2",64,"Paid Search","Voucher Applied"
2,105,"0",4,"2",41,"Paid Search","No Voucher"
3,154,"1",9,"2",63,"Paid Search","Voucher Applied"
0,134,"1",0,"3",59,"SEO (Organic)","Voucher Applied"
0,133,"0",0,"1",62,"No Advertisement","No Voucher"
2,155,"0",14,"1",60,"No Advertisement","No Voucher"
0,130,"0",0,"2",63,"Paid Search","No Voucher"
0,122,"0",0,"2",46,"Paid Search","No Voucher"
1,125,"0",14,"1",61,"No Advertisement","No Voucher"
1,142,"0",3,"3",60,"SEO (Organic)","No Voucher"
0,155,"0",0,"2",62,"Paid Search","No Voucher"
0,105,"0",0,"1",46,"No Advertisement","No Voucher"
1,139,"0",6,"4",65,"Online Display Ads","No Voucher"
1,137,"0",8,"4",62,"Online Display Ads","No Voucher"
1,156,"0",15,"3",58,"SEO (Organic)","No Voucher"
1,104,"0",14,"1",37,"No Advertisement","No Voucher"
2,101,"0",38,"3",43,"SEO (Organic)","No Voucher"
0,135,"0",0,"1",53,"No Advertisement","No Voucher"
1,105,"0",9,"2",41,"Paid Search","No Voucher"
0,158,"0",0,"3",91,"SEO (Organic)","No Voucher"
0,144,"0",0,"4",58,"Online Display Ads","No Voucher"
1,149,"0",4,"4",66,"Online Display Ads","No Voucher"
1,122,"0",17,"1",64,"No Advertisement","No Voucher"
1,149,"0",8,"1",60,"No Advertisement","No Voucher"
0,60,"0",0,"4",50,"Online Display Ads","No Voucher"
1,123,"0",8,"3",58,"SEO (Organic)","No Voucher"
1,130,"0",8,"3",52,"SEO (Organic)","No Voucher"
0,132,"0",0,"2",64,"Paid Search","No Voucher"
0,79,"0",0,"1",47,"No Advertisement","No Voucher"
1,97,"1",2,"3",54,"SEO (Organic)","Voucher Applied"
2,110,"0",20,"4",61,"Online Display Ads","No Voucher"
0,101,"0",0,"2",47,"Paid Search","No Voucher"
0,128,"0",0,"4",61,"Online Display Ads","No Voucher"
2,48,"0",44,"1",23,"No Advertisement","No Voucher"
1,119,"0",12,"4",57,"Online Display Ads","No Voucher"
1,152,"0",31,"2",80,"Paid Search","No Voucher"
1,129,"0",10,"1",55,"No Advertisement","No Voucher"
0,131,"0",0,"1",71,"No Advertisement","No Voucher"
1,140,"0",12,"1",48,"No Advertisement","No Voucher"
0,120,"0",0,"1",46,"No Advertisement","No Voucher"
0,119,"1",0,"1",60,"No Advertisement","Voucher Applied"
1,162,"0",20,"1",84,"No Advertisement","No Voucher"
0,120,"1",0,"2",51,"Paid Search","Voucher Applied"
0,127,"0",0,"1",40,"No Advertisement","No Voucher"
0,117,"0",0,"4",44,"Online Display Ads","No Voucher"
0,162,"0",0,"1",79,"No Advertisement","No Voucher"
0,125,"0",0,"1",34,"No Advertisement","No Voucher"
2,106,"0",4,"3",51,"SEO (Organic)","No Voucher"
1,117,"0",10,"1",55,"No Advertisement","No Voucher"
0,113,"0",0,"1",52,"No Advertisement","No Voucher"
0,127,"0",0,"3",49,"SEO (Organic)","No Voucher"
2,88,"0",6,"4",38,"Online Display Ads","No Voucher"
1,117,"0",12,"2",35,"Paid Search","No Voucher"
0,113,"0",0,"1",59,"No Advertisement","No Voucher"
1,117,"0",21,"1",65,"No Advertisement","No Voucher"
0,113,"0",0,"1",49,"No Advertisement","No Voucher"
1,125,"0",5,"2",64,"Paid Search","No Voucher"
1,136,"1",3,"3",69,"SEO (Organic)","Voucher Applied"
1,132,"0",13,"1",45,"No Advertisement","No Voucher"
0,93,"0",0,"1",47,"No Advertisement","No Voucher"
1,124,"0",33,"1",77,"No Advertisement","No Voucher"
0,66,"0",0,"1",35,"No Advertisement","No Voucher"
0,121,"0",0,"2",58,"Paid Search","No Voucher"
1,103,"0",23,"2",42,"Paid Search","No Voucher"
1,136,"0",3,"1",56,"No Advertisement","No Voucher"
0,49,"0",0,"3",30,"SEO (Organic)","No Voucher"
1,137,"0",6,"1",60,"No Advertisement","No Voucher"
1,111,"0",30,"1",71,"No Advertisement","No Voucher"
1,74,"0",9,"4",41,"Online Display Ads","No Voucher"
2,129,"0",44,"3",68,"SEO (Organic)","No Voucher"
0,115,"0",0,"3",55,"SEO (Organic)","No Voucher"
2,129,"0",32,"3",46,"SEO (Organic)","No Voucher"
1,69,"0",12,"3",52,"SEO (Organic)","No Voucher"
1,160,"0",11,"2",83,"Paid Search","No Voucher"
1,91,"0",16,"1",30,"No Advertisement","No Voucher"
1,127,"0",13,"1",54,"No Advertisement","No Voucher"
1,179,"0",3,"4",83,"Online Display Ads","No Voucher"
1,149,"0",24,"1",80,"No Advertisement","No Voucher"
1,155,"0",17,"3",83,"SEO (Organic)","No Voucher"
1,138,"0",10,"1",65,"No Advertisement","No Voucher"
1,128,"0",14,"1",63,"No Advertisement","No Voucher"
1,104,"0",18,"3",42,"SEO (Organic)","No Voucher"
1,103,"0",17,"2",48,"Paid Search","No Voucher"
